community_id,ngram_type,rank,term,ctfidf,class_count
11,unigram,2,stablediffusion,0.06117236300555624,3345
11,unigram,3,stablediffusionart,0.03782240438159758,1663
11,unigram,4,waifudiffusion,0.03656696637741194,1461
11,unigram,5,aiartwork,0.03637680523630899,1944
11,unigram,6,novelai,0.03374039993806902,1400
11,unigram,7,art,0.02990876974609537,3736
11,unigram,8,anime,0.029188183830840965,1443
11,unigram,9,aiartcommunity,0.02870546077837713,1575
11,unigram,10,like,0.022220274226796427,2571
11,unigram,11,waifu,0.018785571376002702,719
11,unigram,12,girl,0.01843846654247536,827
11,unigram,13,aiartworks,0.01734744093225963,751
11,unigram,14,novelaidiffusion,0.016825013969133565,605
11,unigram,15,findom,0.01667114301083812,582
11,unigram,16,oppai,0.01457751979814781,498
11,unigram,17,just,0.014309337706218169,1589
11,unigram,18,nsfwtwt,0.01266551291414054,432
11,unigram,19,love,0.011836445687875478,812
11,unigram,20,nsfw,0.011656005532893973,455
11,bigram,1,aiart ai,0.02547248003670816,1135
11,bigram,2,ai art,0.020925758727817104,1950
11,bigram,3,ai aiart,0.020146896782619404,1019
11,bigram,4,stablediffusion stablediffusionart,0.01698420829743981,628
11,bigram,5,ai stablediffusion,0.016582387005307272,624
11,bigram,6,ai anime,0.015309020439915796,576
11,bigram,7,stablediffusion waifudiffusion,0.014836708005746962,511
11,bigram,8,ai ai,0.01483588345534091,762
11,bigram,9,ai aiartwork,0.014635533569626448,583
11,bigram,10,aiart aiartcommunity,0.013399065008816552,563
17,unigram,1,chatgpt,0.03589201822326681,2323
17,unigram,2,like,0.015852896564268817,723
17,unigram,3,just,0.015032960650386786,658
17,unigram,4,gpt,0.014752940436188406,479
17,unigram,5,people,0.01149174052546585,442
17,unigram,6,think,0.011446378044101545,406
17,unigram,7,use,0.010351079670893047,396
17,unigram,8,using,0.009626616919523243,338
17,unigram,9,time,0.009540624414824003,318
17,unigram,10,chat,0.009466118273333069,265
17,unigram,11,make,0.009463655145264541,333
17,unigram,12,know,0.008946790241204493,289
17,unigram,13,google,0.008798477656595098,270
17,unigram,14,good,0.008605843012083333,281
17,unigram,15,need,0.008594144660882989,262
17,unigram,16,human,0.008393565010826306,275
17,unigram,17,art,0.008388121729237115,413
17,unigram,18,new,0.008127220060423311,306
17,unigram,19,asked,0.007962171339112152,193
17,unigram,20,really,0.007863464889960422,231
17,bigram,1,chat gpt,0.007716880676762356,187
17,bigram,2,ai generated,0.005338908779519112,155
17,bigram,3,ai art,0.005199995412075616,191
17,bigram,4,artificial intelligence,0.004558484801384463,145
17,bigram,5,use chatgpt,0.003864019402835326,80
17,bigram,6,chatgpt write,0.003784390225823701,74
17,bigram,7,using chatgpt,0.00367491558214806,76
17,bigram,8,asked chatgpt,0.0033134231856009554,65
17,bigram,9,like ai,0.003205310335951194,70
17,bigram,10,using ai,0.003107553921684631,79
24,unigram,1,radiology,0.026383622271882786,754
24,unigram,2,rsna22,0.017859644958523595,466
24,unigram,3,research,0.017008470013288927,785
24,unigram,4,data,0.016374484057224522,1047
24,unigram,5,learn,0.015666236763632976,798
24,unigram,6,healthcare,0.015563672223065882,588
24,unigram,7,health,0.015042486088996873,566
24,unigram,8,imaging,0.014880730531059374,433
24,unigram,9,chatgpt,0.014600558274794982,1814
24,unigram,10,clinical,0.0142752049586559,414
24,unigram,11,new,0.013033318401276925,942
24,unigram,12,intelligence,0.012899521911753451,835
24,unigram,13,artificial,0.012656812510344857,790
24,unigram,14,ml,0.012540042811299593,638
24,unigram,15,medical,0.012117522506781827,430
24,unigram,16,cancer,0.012051691527845755,372
